source,target,value
NUTE GUNRAY,QUI-GON,3
PK-4,TC-14,1
OBI-WAN,QUI-GON,46
OBI-WAN,YODA,7
OBI-WAN,TC-14,1
QUI-GON,YODA,6
QUI-GON,TC-14,1
TC-14,YODA,1
NUTE GUNRAY,TC-14,2
DOFINE,NUTE GUNRAY,1
DOFINE,TC-14,1
NUTE GUNRAY,RUNE,16
NUTE GUNRAY,OBI-WAN,2
OBI-WAN,RUNE,2
QUI-GON,RUNE,2
NUTE GUNRAY,TEY HOW,2
RUNE,TEY HOW,2
OBI-WAN,VALORUM,2
QUI-GON,VALORUM,2
NUTE GUNRAY,RABE,2
RABE,RUNE,2
RABE,TEY HOW,1
CAPTAIN PANAKA,EMPEROR,10
EMPEROR,SIO BIBBLE,4
CAPTAIN PANAKA,SIO BIBBLE,6
JAR JAR,OBI-WAN,24
JAR JAR,QUI-GON,43
JAR JAR,TARPALS,2
BOSS NASS,OBI-WAN,5
BOSS NASS,QUI-GON,4
BOSS NASS,JAR JAR,5
EMPEROR,NUTE GUNRAY,6
EMPEROR,RUNE,6
CAPTAIN PANAKA,NUTE GUNRAY,3
NUTE GUNRAY,SIO BIBBLE,2
NUTE GUNRAY,PADME,3
CAPTAIN PANAKA,PADME,22
CAPTAIN PANAKA,RUNE,3
CAPTAIN PANAKA,RABE,11
PADME,SIO BIBBLE,5
RUNE,SIO BIBBLE,2
RABE,SIO BIBBLE,4
PADME,RUNE,3
PADME,RABE,10
CAPTAIN PANAKA,OBI-WAN,19
CAPTAIN PANAKA,QUI-GON,20
CAPTAIN PANAKA,JAR JAR,14
OBI-WAN,SIO BIBBLE,6
QUI-GON,SIO BIBBLE,4
JAR JAR,SIO BIBBLE,6
OBI-WAN,PADME,17
OBI-WAN,RABE,9
PADME,QUI-GON,38
JAR JAR,PADME,33
QUI-GON,RABE,8
JAR JAR,RABE,6
EMPEROR,OBI-WAN,7
EMPEROR,PADME,6
EMPEROR,QUI-GON,6
EMPEROR,JAR JAR,8
CAPTAIN PANAKA,RIC OLIE,6
RIC OLIE,SIO BIBBLE,1
OBI-WAN,RIC OLIE,6
PADME,RIC OLIE,2
QUI-GON,RIC OLIE,6
JAR JAR,RIC OLIE,2
RABE,RIC OLIE,1
CAPTAIN PANAKA,R2-D2,7
OBI-WAN,R2-D2,13
PADME,R2-D2,28
QUI-GON,R2-D2,27
R2-D2,RABE,4
JAR JAR,R2-D2,25
ANAKIN,R2-D2,29
R2-D2,WATTO,7
ANAKIN,PADME,32
ANAKIN,QUI-GON,41
ANAKIN,JAR JAR,24
ANAKIN,WATTO,12
PADME,WATTO,8
QUI-GON,WATTO,14
JAR JAR,WATTO,8
R2-D2,SEBULBA,5
ANAKIN,SEBULBA,9
PADME,SEBULBA,5
QUI-GON,SEBULBA,6
JAR JAR,SEBULBA,5
ANAKIN,JIRA,2
JIRA,PADME,1
JIRA,QUI-GON,2
C-3PO,R2-D2,4
ANAKIN,C-3PO,4
C-3PO,PADME,3
C-3PO,QUI-GON,2
C-3PO,JAR JAR,2
C-3PO,SHMI,2
R2-D2,SHMI,8
ANAKIN,SHMI,12
PADME,SHMI,11
QUI-GON,SHMI,14
JAR JAR,SHMI,11
ANAKIN,EMPEROR,7
EMPEROR,WATTO,1
DARTH MAUL,EMPEROR,4
ANAKIN,DARTH MAUL,4
DARTH MAUL,WATTO,1
SHMI,WATTO,5
SEBULBA,WATTO,4
KITSTER,R2-D2,8
R2-D2,WALD,1
GREEDO,R2-D2,1
ANAKIN,KITSTER,8
ANAKIN,WALD,2
ANAKIN,GREEDO,2
KITSTER,PADME,7
PADME,WALD,1
GREEDO,PADME,1
KITSTER,QUI-GON,9
QUI-GON,WALD,2
GREEDO,QUI-GON,2
JAR JAR,KITSTER,7
JAR JAR,WALD,1
GREEDO,JAR JAR,1
KITSTER,WALD,2
GREEDO,KITSTER,2
GREEDO,WALD,2
ANAKIN,OBI-WAN,19
OBI-WAN,SHMI,2
ANAKIN,YODA,6
SHMI,YODA,1
KITSTER,WATTO,4
C-3PO,WATTO,1
C-3PO,KITSTER,2
C-3PO,SEBULBA,1
KITSTER,SHMI,6
SEBULBA,SHMI,4
KITSTER,SEBULBA,4
DARTH MAUL,OBI-WAN,6
FODE/BEED,OBI-WAN,2
OBI-WAN,SEBULBA,2
ANAKIN,FODE/BEED,5
FODE/BEED,SEBULBA,5
FODE/BEED,JABBA,1
JABBA,SEBULBA,2
JABBA,R2-D2,2
ANAKIN,JABBA,1
JABBA,PADME,2
JABBA,QUI-GON,2
JABBA,JAR JAR,2
JABBA,SHMI,2
JABBA,KITSTER,2
FODE/BEED,JAR JAR,4
FODE/BEED,PADME,3
FODE/BEED,QUI-GON,3
FODE/BEED,SHMI,3
OBI-WAN,WATTO,2
KITSTER,OBI-WAN,1
FODE/BEED,R2-D2,2
FODE/BEED,WATTO,2
FODE/BEED,KITSTER,2
JIRA,WATTO,1
DARTH MAUL,QUI-GON,8
ANAKIN,CAPTAIN PANAKA,12
ANAKIN,RIC OLIE,6
RIC OLIE,WATTO,1
R2-D2,SIO BIBBLE,2
ANAKIN,SIO BIBBLE,3
EMPEROR,VALORUM,4
EMPEROR,RABE,5
CAPTAIN PANAKA,VALORUM,4
ANAKIN,VALORUM,1
ANAKIN,RABE,6
PADME,VALORUM,1
JAR JAR,VALORUM,2
RABE,VALORUM,3
EMPEROR,MACE WINDU,2
EMPEROR,KI-ADI-MUNDI,1
EMPEROR,YODA,3
KI-ADI-MUNDI,MACE WINDU,3
MACE WINDU,OBI-WAN,3
ANAKIN,MACE WINDU,4
MACE WINDU,PADME,1
MACE WINDU,QUI-GON,3
MACE WINDU,YODA,4
MACE WINDU,RABE,1
KI-ADI-MUNDI,OBI-WAN,2
ANAKIN,KI-ADI-MUNDI,3
KI-ADI-MUNDI,PADME,1
KI-ADI-MUNDI,QUI-GON,2
KI-ADI-MUNDI,YODA,3
KI-ADI-MUNDI,RABE,1
PADME,YODA,2
RABE,YODA,1
BAIL ORGANA,EMPEROR,2
BAIL ORGANA,CAPTAIN PANAKA,2
BAIL ORGANA,VALORUM,2
BAIL ORGANA,RABE,1
BAIL ORGANA,JAR JAR,1
EMPEROR,R2-D2,2
DARTH MAUL,NUTE GUNRAY,4
DARTH MAUL,RUNE,4
BOSS NASS,R2-D2,3
BOSS NASS,CAPTAIN PANAKA,3
ANAKIN,BOSS NASS,4
BOSS NASS,PADME,2
BOSS NASS,RABE,1
EMPEROR,GENERAL CEEL,2
JAR JAR,NUTE GUNRAY,1
GENERAL CEEL,NUTE GUNRAY,1
GENERAL CEEL,QUI-GON,1
JAR JAR,RUNE,1
DARTH MAUL,JAR JAR,1
GENERAL CEEL,JAR JAR,4
GENERAL CEEL,RUNE,1
DARTH MAUL,GENERAL CEEL,1
DARTH MAUL,R2-D2,1
CAPTAIN PANAKA,DARTH MAUL,1
DARTH MAUL,PADME,1
BRAVO TWO,RIC OLIE,4
R2-D2,RIC OLIE,2
BRAVO TWO,R2-D2,2
ANAKIN,BRAVO TWO,2
DOFINE,TEY HOW,1
BRAVO THREE,RIC OLIE,2
BRAVO THREE,BRAVO TWO,2
BRAVO THREE,R2-D2,1
ANAKIN,BRAVO THREE,1
NUTE GUNRAY,YODA,1
CAPTAIN PANAKA,YODA,2
RUNE,YODA,1
BOSS NASS,EMPEROR,2
CAPTAIN PANAKA,MACE WINDU,1
MACE WINDU,SIO BIBBLE,1
JAR JAR,MACE WINDU,1
BOSS NASS,MACE WINDU,1
SIO BIBBLE,YODA,1
BOSS NASS,SIO BIBBLE,2
JAR JAR,YODA,1
BOSS NASS,YODA,1
GENERAL CEEL,R2-D2,1
GENERAL CEEL,SIO BIBBLE,1
GENERAL CEEL,OBI-WAN,1
ANAKIN,GENERAL CEEL,1
BOSS NASS,GENERAL CEEL,1
