source,target,value
LEIA,LUKE,4
LOR SAN TEKKA,POE,4
BB-8,POE,13
BB-8,LOR SAN TEKKA,3
KYLO REN,POE,2
CAPTAIN PHASMA,KYLO REN,1
KYLO REN,LOR SAN TEKKA,1
CAPTAIN PHASMA,POE,1
CAPTAIN PHASMA,LOR SAN TEKKA,1
CAPTAIN PHASMA,FINN,4
REY,UNKAR PLUTT,7
BB-8,REY,37
GENERAL HUX,KYLO REN,6
BB-8,UNKAR PLUTT,5
FINN,POE,16
KYLO REN,LIEUTENANT MITAKA,2
GENERAL HUX,LIEUTENANT MITAKA,1
FINN,LUKE,5
LUKE,POE,3
FINN,GENERAL HUX,1
CAPTAIN PHASMA,GENERAL HUX,1
KYLO REN,SNOKE,7
GENERAL HUX,SNOKE,4
FINN,UNKAR PLUTT,3
LUKE,UNKAR PLUTT,3
POE,UNKAR PLUTT,1
FINN,REY,54
BB-8,FINN,26
LUKE,REY,9
POE,REY,4
BB-8,LUKE,9
FINN,KYLO REN,7
FINN,LIEUTENANT MITAKA,1
CHEWBACCA,UNKAR PLUTT,3
CHEWBACCA,FINN,35
CHEWBACCA,REY,32
CHEWBACCA,HAN,41
BB-8,CHEWBACCA,16
HAN,UNKAR PLUTT,3
FINN,HAN,35
HAN,REY,31
BB-8,HAN,18
CHEWBACCA,LUKE,4
HAN,LUKE,6
BALA-TIK,CHEWBACCA,2
BALA-TIK,HAN,3
BALA-TIK,BB-8,2
BALA-TIK,FINN,1
BALA-TIK,REY,1
HAN,KYLO REN,8
GENERAL HUX,HAN,1
HAN,SNOKE,5
CHEWBACCA,MAZ,5
FINN,MAZ,5
MAZ,REY,6
HAN,MAZ,7
BB-8,MAZ,7
DARTH VADER,KYLO REN,2
FINN,LEIA,6
LEIA,REY,5
HAN,LEIA,9
LEIA,MAZ,2
BB-8,LEIA,6
R2-D2,UNKAR PLUTT,1
KYLO REN,UNKAR PLUTT,1
R2-D2,REY,3
KYLO REN,R2-D2,1
LUKE,R2-D2,4
BB-8,R2-D2,4
KYLO REN,REY,13
KYLO REN,LUKE,4
BB-8,KYLO REN,1
LUKE,MAZ,1
CHEWBACCA,POE,3
CHEWBACCA,SNAP,1
CHEWBACCA,JESS,1
FINN,SNAP,3
FINN,JESS,1
HAN,POE,4
HAN,SNAP,2
HAN,JESS,1
POE,SNAP,5
JESS,POE,5
JESS,SNAP,2
CHEWBACCA,KYLO REN,5
C-3PO,CHEWBACCA,3
C-3PO,HAN,4
C-3PO,LEIA,8
C-3PO,MAZ,1
BB-8,C-3PO,7
CHEWBACCA,LEIA,5
ADMIRAL ACKBAR,FINN,2
ADMIRAL ACKBAR,HAN,2
ADMIRAL ACKBAR,LEIA,3
ADMIRAL ACKBAR,POE,2
LEIA,POE,6
C-3PO,LUKE,4
C-3PO,R2-D2,3
DARTH VADER,LUKE,1
DARTH VADER,HAN,2
DARTH VADER,LEIA,1
DARTH VADER,SNOKE,2
LUKE,SNOKE,2
LEIA,SNOKE,2
DARTH VADER,REY,1
REY,SNOKE,3
GENERAL HUX,LUKE,1
ADMIRAL ACKBAR,C-3PO,1
ADMIRAL ACKBAR,SNAP,1
ADMIRAL ACKBAR,ADMIRAL STATURA,1
C-3PO,FINN,2
C-3PO,POE,5
C-3PO,SNAP,1
ADMIRAL STATURA,C-3PO,2
ADMIRAL STATURA,FINN,1
ADMIRAL STATURA,HAN,2
LEIA,SNAP,1
ADMIRAL STATURA,LEIA,2
ADMIRAL STATURA,POE,2
ADMIRAL STATURA,SNAP,1
BB-8,SNAP,1
CAPTAIN PHASMA,CHEWBACCA,2
CAPTAIN PHASMA,HAN,2
CAPTAIN PHASMA,REY,1
COLONEL DATOO,GENERAL HUX,2
ELLO ASTY,POE,3
ELLO ASTY,JESS,3
KYLO REN,SNAP,1
KYLO REN,LEIA,1
CHEWBACCA,SNOKE,2
FINN,SNOKE,2
NIV LEK,POE,2
POE,YOLO ZIFF,1
JESS,NIV LEK,2
JESS,YOLO ZIFF,1
ELLO ASTY,NIV LEK,2
ELLO ASTY,YOLO ZIFF,1
NIV LEK,YOLO ZIFF,1
C-3PO,REY,2
CHEWBACCA,R2-D2,2
C-3PO,LOR SAN TEKKA,1
LEIA,R2-D2,1
POE,R2-D2,1
LOR SAN TEKKA,R2-D2,1
LOR SAN TEKKA,REY,1
LOR SAN TEKKA,LUKE,1
LEIA,LOR SAN TEKKA,1
