source,target,value
CHEWBACCA,R2-D2,1
BB-8,R2-D2,2
BB-8,CHEWBACCA,9
C-3PO,R2-D2,2
CHEWBACCA,FINN,20
CHEWBACCA,REY,13
CHEWBACCA,HAN,24
BALA-TIK,CHEWBACCA,1
CHEWBACCA,MAZ,2
CHEWBACCA,POE,2
CHEWBACCA,KYLO REN,3
C-3PO,CHEWBACCA,2
CHEWBACCA,LEIA,3
CAPTAIN PHASMA,CHEWBACCA,1
BB-8,POE,8
BB-8,LOR SAN TEKKA,2
BB-8,REY,17
BB-8,UNKAR PLUTT,1
BB-8,FINN,15
BB-8,HAN,10
BALA-TIK,BB-8,1
BB-8,MAZ,3
BB-8,LEIA,3
BB-8,C-3PO,5
LOR SAN TEKKA,POE,3
KYLO REN,LOR SAN TEKKA,1
KYLO REN,POE,2
CAPTAIN PHASMA,KYLO REN,1
CAPTAIN PHASMA,LOR SAN TEKKA,1
CAPTAIN PHASMA,POE,1
CAPTAIN PHASMA,FINN,3
GENERAL HUX,KYLO REN,5
REY,UNKAR PLUTT,2
FINN,POE,11
GENERAL HUX,LIEUTENANT MITAKA,1
KYLO REN,LIEUTENANT MITAKA,2
CAPTAIN PHASMA,GENERAL HUX,1
FINN,REY,29
HAN,REY,17
FINN,HAN,23
BALA-TIK,HAN,2
BALA-TIK,REY,1
BALA-TIK,FINN,1
GENERAL HUX,SNOKE,3
KYLO REN,SNOKE,2
HAN,MAZ,4
FINN,MAZ,2
MAZ,REY,2
HAN,POE,2
C-3PO,HAN,3
C-3PO,LEIA,5
HAN,LEIA,5
LEIA,POE,3
FINN,LEIA,3
KYLO REN,REY,4
POE,SNAP,2
ADMIRAL ACKBAR,POE,1
C-3PO,POE,2
ADMIRAL STATURA,POE,1
HAN,SNAP,1
ADMIRAL ACKBAR,SNAP,1
FINN,SNAP,1
LEIA,SNAP,1
C-3PO,SNAP,1
ADMIRAL STATURA,SNAP,1
ADMIRAL ACKBAR,HAN,1
ADMIRAL STATURA,HAN,1
ADMIRAL ACKBAR,FINN,1
ADMIRAL ACKBAR,LEIA,1
ADMIRAL ACKBAR,C-3PO,1
ADMIRAL ACKBAR,ADMIRAL STATURA,1
C-3PO,FINN,1
ADMIRAL STATURA,FINN,1
ADMIRAL STATURA,LEIA,2
ADMIRAL STATURA,C-3PO,2
CAPTAIN PHASMA,HAN,2
COLONEL DATOO,GENERAL HUX,1
ELLO ASTY,POE,3
JESS,SNAP,1
HAN,KYLO REN,3
FINN,KYLO REN,2
JESS,NIV LEK,2
NIV LEK,YOLO ZIFF,1
NIV LEK,POE,2
ELLO ASTY,NIV LEK,2
JESS,YOLO ZIFF,1
JESS,POE,2
ELLO ASTY,JESS,2
POE,YOLO ZIFF,1
ELLO ASTY,YOLO ZIFF,1
LEIA,REY,1
LUKE,REY,1
