source,target,value
EMPEROR,R2-D2,2
OBI-WAN,R2-D2,12
ANAKIN,R2-D2,9
C-3PO,R2-D2,5
BAIL ORGANA,R2-D2,4
PADME,R2-D2,4
R2-D2,YODA,1
CAPTAIN ANTILLES,R2-D2,1
ANAKIN,OBI-WAN,28
OBI-WAN,ODD BALL,2
ANAKIN,ODD BALL,2
EMPEROR,OBI-WAN,4
COUNT DOOKU,OBI-WAN,1
ANAKIN,EMPEROR,14
ANAKIN,COUNT DOOKU,1
COUNT DOOKU,EMPEROR,1
GENERAL GRIEVOUS,OBI-WAN,2
ANAKIN,GENERAL GRIEVOUS,1
ANAKIN,BAIL ORGANA,2
ANAKIN,C-3PO,4
BAIL ORGANA,OBI-WAN,7
C-3PO,OBI-WAN,3
BAIL ORGANA,EMPEROR,3
C-3PO,EMPEROR,2
BAIL ORGANA,C-3PO,3
BAIL ORGANA,PADME,5
ANAKIN,PADME,9
ANAKIN,YODA,5
BAIL ORGANA,FANG ZAR,2
BAIL ORGANA,MON MOTHMA,2
BAIL ORGANA,GIDDEAN DANU,1
FANG ZAR,PADME,2
FANG ZAR,MON MOTHMA,2
FANG ZAR,GIDDEAN DANU,1
MON MOTHMA,PADME,2
GIDDEAN DANU,PADME,1
GIDDEAN DANU,MON MOTHMA,1
ANAKIN,MACE WINDU,5
MACE WINDU,YODA,4
MACE WINDU,OBI-WAN,3
OBI-WAN,YODA,11
CAPTAIN TYPHO,PADME,2
C-3PO,PADME,5
C-3PO,CAPTAIN TYPHO,2
ANAKIN,CAPTAIN TYPHO,1
CLONE COMMANDER GREE,YODA,1
OBI-WAN,PADME,6
CLONE COMMANDER CODY,OBI-WAN,2
ANAKIN,JAR JAR,1
EMPEROR,JAR JAR,1
OBI-WAN,TION MEDON,1
GENERAL GRIEVOUS,NUTE GUNRAY,1
EMPEROR,PADME,4
ANAKIN,CLONE COMMANDER CODY,1
CLONE COMMANDER CODY,MACE WINDU,1
CLONE COMMANDER CODY,YODA,1
EMPEROR,MACE WINDU,1
BAIL ORGANA,CAPTAIN ANTILLES,2
BAIL ORGANA,YODA,6
EMPEROR,NUTE GUNRAY,1
QUI-GON,YODA,1
BAIL ORGANA,QUI-GON,1
C-3PO,YODA,1
DARTH VADER,EMPEROR,1
C-3PO,CAPTAIN ANTILLES,1
