source,target,value
HAN,LUKE,12
LUKE,SNAP,1
HAN,SNAP,1
CHEWBACCA,HAN,40
HAN,LEIA,48
HAN,JABBA,2
HAN,RIEEKAN,4
JABBA,LEIA,2
LEIA,RIEEKAN,6
JABBA,RIEEKAN,1
C-3PO,R2-D2,19
C-3PO,CHEWBACCA,40
C-3PO,LUKE,11
C-3PO,HAN,35
C-3PO,LEIA,41
CHEWBACCA,R2-D2,14
LUKE,R2-D2,21
HAN,R2-D2,9
LEIA,R2-D2,14
CHEWBACCA,LUKE,14
CHEWBACCA,LEIA,47
LEIA,LUKE,18
C-3PO,DERLIN,1
DERLIN,R2-D2,1
CHEWBACCA,DERLIN,1
DERLIN,LUKE,1
DERLIN,LEIA,2
LUKE,OBI-WAN,10
HAN,OBI-WAN,2
OBI-WAN,YODA,4
LUKE,YODA,7
HAN,YODA,3
HAN,ZEV,2
C-3PO,RIEEKAN,2
R2-D2,RIEEKAN,1
CHEWBACCA,RIEEKAN,2
LUKE,RIEEKAN,2
DARTH VADER,PIETT,8
DARTH VADER,OZZEL,2
OZZEL,PIETT,2
DACK,LUKE,4
LUKE,WEDGE,3
JANSON,WEDGE,3
LUKE,ZEV,2
R2-D2,WEDGE,1
R2-D2,YODA,6
DARTH VADER,EMPEROR,6
DARTH VADER,NEEDA,4
EMPEROR,PIETT,1
EMPEROR,NEEDA,1
NEEDA,PIETT,2
DARTH VADER,OBI-WAN,5
EMPEROR,OBI-WAN,4
DARTH VADER,LUKE,15
EMPEROR,LUKE,4
OBI-WAN,R2-D2,3
DARTH VADER,R2-D2,2
DARTH VADER,YODA,2
BOBA FETT,DARTH VADER,5
BOBA FETT,PIETT,1
C-3PO,LANDO,15
CHEWBACCA,LANDO,25
HAN,LANDO,21
LANDO,LEIA,27
LEIA,YODA,2
LEIA,OBI-WAN,2
EMPEROR,R2-D2,1
DARTH VADER,HAN,6
DARTH VADER,LEIA,5
EMPEROR,HAN,1
EMPEROR,LEIA,1
EMPEROR,YODA,1
BOBA FETT,HAN,6
BOBA FETT,LANDO,6
DARTH VADER,LANDO,7
BOBA FETT,LEIA,4
BOBA FETT,JABBA,1
DARTH VADER,JABBA,1
JABBA,LANDO,2
C-3PO,DARTH VADER,2
CHEWBACCA,DARTH VADER,3
LANDO,LUKE,7
EMPEROR,LANDO,1
BOBA FETT,C-3PO,3
BOBA FETT,CHEWBACCA,3
BOBA FETT,R2-D2,2
LANDO,R2-D2,5
BOBA FETT,LUKE,1
CHEWBACCA,JABBA,1
JABBA,LUKE,1
