source,target,value
PADME,R2-D2,7
ANAKIN,R2-D2,7
C-3PO,R2-D2,3
EMPEROR,SENATOR ASK AAK,2
EMPEROR,ORN FREE TAA,2
ORN FREE TAA,SENATOR ASK AAK,1
EMPEROR,MACE WINDU,2
EMPEROR,YODA,2
EMPEROR,KI-ADI-MUNDI,1
BAIL ORGANA,EMPEROR,2
MACE WINDU,YODA,8
KI-ADI-MUNDI,MACE WINDU,1
BAIL ORGANA,MACE WINDU,2
KI-ADI-MUNDI,YODA,1
BAIL ORGANA,YODA,2
BAIL ORGANA,KI-ADI-MUNDI,1
JAR JAR,OBI-WAN,3
ANAKIN,JAR JAR,3
ANAKIN,OBI-WAN,13
CAPTAIN TYPHO,JAR JAR,1
CAPTAIN TYPHO,OBI-WAN,2
ANAKIN,CAPTAIN TYPHO,2
JAR JAR,PADME,1
ANAKIN,PADME,16
OBI-WAN,PK-4,1
ANAKIN,SIO BIBBLE,1
PADME,SOLA,1
ANAKIN,SOLA,1
JOBAL,SOLA,2
RUWEE,SOLA,1
JOBAL,PADME,1
PADME,RUWEE,1
ANAKIN,JOBAL,1
ANAKIN,RUWEE,3
JOBAL,RUWEE,1
OBI-WAN,YODA,5
MACE WINDU,OBI-WAN,4
OBI-WAN,TAUN WE,5
LAMA SU,TAUN WE,2
LAMA SU,OBI-WAN,6
BOBA FETT,TAUN WE,2
BOBA FETT,JANGO FETT,3
BOBA FETT,OBI-WAN,1
JANGO FETT,TAUN WE,1
JANGO FETT,OBI-WAN,1
ANAKIN,WATTO,1
ANAKIN,C-3PO,3
C-3PO,PADME,5
C-3PO,OWEN,2
BERU,C-3PO,1
C-3PO,CLIEGG,1
ANAKIN,OWEN,3
ANAKIN,BERU,1
ANAKIN,CLIEGG,2
BERU,OWEN,1
OWEN,PADME,4
CLIEGG,OWEN,2
BERU,PADME,1
BERU,CLIEGG,1
CLIEGG,PADME,2
ANAKIN,SHMI,1
BAIL ORGANA,OBI-WAN,1
EMPEROR,OBI-WAN,1
OBI-WAN,SENATOR ASK AAK,1
BAIL ORGANA,SENATOR ASK AAK,1
BAIL ORGANA,JAR JAR,1
EMPEROR,JAR JAR,2
SENATOR ASK AAK,YODA,1
JAR JAR,YODA,1
MACE WINDU,SENATOR ASK AAK,1
JAR JAR,MACE WINDU,1
JAR JAR,SENATOR ASK AAK,1
OBI-WAN,PADME,2
ANAKIN,MACE WINDU,1
MACE WINDU,PADME,2
JAR JAR,ORN FREE TAA,1
COUNT DOOKU,PADME,3
COUNT DOOKU,JANGO FETT,1
POGGLE,SUN RIT,2
NUTE GUNRAY,SUN RIT,2
NUTE GUNRAY,POGGLE,2
OBI-WAN,SUN RIT,1
OBI-WAN,POGGLE,1
NUTE GUNRAY,OBI-WAN,1
COUNT DOOKU,OBI-WAN,2
ANAKIN,SUN RIT,1
ANAKIN,POGGLE,1
ANAKIN,NUTE GUNRAY,1
ANAKIN,COUNT DOOKU,2
PADME,SUN RIT,1
COUNT DOOKU,SUN RIT,1
PADME,POGGLE,1
COUNT DOOKU,POGGLE,1
NUTE GUNRAY,PADME,1
COUNT DOOKU,NUTE GUNRAY,1
COUNT DOOKU,MACE WINDU,2
KI-ADI-MUNDI,PLO KOON,1
COUNT DOOKU,YODA,2
PADME,YODA,1
ANAKIN,YODA,1
COUNT DOOKU,EMPEROR,1
