source,target,value
COUNT DOOKU,EMPEROR,9
EMPEROR,OBI-WAN,30
EMPEROR,R2-D2,9
ANAKIN,EMPEROR,43
EMPEROR,GENERAL GRIEVOUS,14
COUNT DOOKU,OBI-WAN,9
COUNT DOOKU,R2-D2,5
ANAKIN,COUNT DOOKU,9
COUNT DOOKU,GENERAL GRIEVOUS,8
OBI-WAN,R2-D2,24
ANAKIN,OBI-WAN,61
GENERAL GRIEVOUS,OBI-WAN,20
ANAKIN,R2-D2,19
GENERAL GRIEVOUS,R2-D2,6
ANAKIN,GENERAL GRIEVOUS,14
OBI-WAN,RED LEADER,2
OBI-WAN,ODD BALL,2
ANAKIN,RED LEADER,2
ANAKIN,ODD BALL,2
ODD BALL,RED LEADER,2
R2-D2,RED LEADER,1
ODD BALL,R2-D2,1
C-3PO,R2-D2,10
C-3PO,EMPEROR,4
BAIL ORGANA,C-3PO,7
C-3PO,MACE WINDU,2
C-3PO,COUNT DOOKU,3
C-3PO,OBI-WAN,10
ANAKIN,C-3PO,8
C-3PO,JAR JAR,1
C-3PO,GENERAL GRIEVOUS,2
BAIL ORGANA,R2-D2,6
MACE WINDU,R2-D2,2
JAR JAR,R2-D2,1
BAIL ORGANA,EMPEROR,6
EMPEROR,MACE WINDU,5
EMPEROR,JAR JAR,3
BAIL ORGANA,MACE WINDU,1
BAIL ORGANA,COUNT DOOKU,2
BAIL ORGANA,OBI-WAN,11
ANAKIN,BAIL ORGANA,3
BAIL ORGANA,JAR JAR,2
BAIL ORGANA,GENERAL GRIEVOUS,2
COUNT DOOKU,MACE WINDU,1
MACE WINDU,OBI-WAN,6
ANAKIN,MACE WINDU,8
JAR JAR,MACE WINDU,1
GENERAL GRIEVOUS,MACE WINDU,6
COUNT DOOKU,JAR JAR,1
JAR JAR,OBI-WAN,1
ANAKIN,JAR JAR,2
GENERAL GRIEVOUS,JAR JAR,1
EMPEROR,PADME,11
BAIL ORGANA,PADME,8
COUNT DOOKU,PADME,3
C-3PO,PADME,17
PADME,R2-D2,9
ANAKIN,PADME,22
GENERAL GRIEVOUS,PADME,3
OBI-WAN,PADME,17
ANAKIN,YODA,7
EMPEROR,MON MOTHMA,1
EMPEROR,FANG ZAR,2
EMPEROR,GIDDEAN DANU,1
BAIL ORGANA,MON MOTHMA,2
BAIL ORGANA,FANG ZAR,2
BAIL ORGANA,GIDDEAN DANU,2
MON MOTHMA,PADME,2
FANG ZAR,PADME,3
GIDDEAN DANU,PADME,2
FANG ZAR,MON MOTHMA,2
GIDDEAN DANU,MON MOTHMA,2
FANG ZAR,GIDDEAN DANU,2
EMPEROR,KI-ADI-MUNDI,3
EMPEROR,YODA,9
EMPEROR,PLO KOON,2
KI-ADI-MUNDI,MACE WINDU,3
MACE WINDU,YODA,4
MACE WINDU,PLO KOON,2
KI-ADI-MUNDI,OBI-WAN,2
ANAKIN,KI-ADI-MUNDI,3
KI-ADI-MUNDI,YODA,3
GENERAL GRIEVOUS,KI-ADI-MUNDI,3
KI-ADI-MUNDI,PLO KOON,2
OBI-WAN,YODA,16
OBI-WAN,PLO KOON,2
ANAKIN,PLO KOON,2
GENERAL GRIEVOUS,YODA,3
PLO KOON,YODA,2
GENERAL GRIEVOUS,PLO KOON,2
C-3PO,CAPTAIN TYPHO,3
ANAKIN,CAPTAIN TYPHO,2
CAPTAIN TYPHO,PADME,4
CLONE COMMANDER GREE,YODA,2
C-3PO,MON MOTHMA,1
C-3PO,FANG ZAR,1
C-3PO,GIDDEAN DANU,1
CLONE COMMANDER CODY,OBI-WAN,2
ANAKIN,CLONE COMMANDER CODY,2
OBI-WAN,TION MEDON,1
GENERAL GRIEVOUS,TION MEDON,2
EMPEROR,NUTE GUNRAY,2
EMPEROR,RUNE,1
EMPEROR,POGGLE,1
COUNT DOOKU,NUTE GUNRAY,1
NUTE GUNRAY,OBI-WAN,1
GENERAL GRIEVOUS,NUTE GUNRAY,1
NUTE GUNRAY,RUNE,3
NUTE GUNRAY,POGGLE,2
COUNT DOOKU,RUNE,1
COUNT DOOKU,POGGLE,1
OBI-WAN,RUNE,1
OBI-WAN,POGGLE,1
GENERAL GRIEVOUS,RUNE,1
GENERAL GRIEVOUS,POGGLE,1
POGGLE,RUNE,2
ANAKIN,FANG ZAR,1
CLONE COMMANDER CODY,MACE WINDU,1
CLONE COMMANDER CODY,KI-ADI-MUNDI,1
CLONE COMMANDER CODY,YODA,1
CLONE COMMANDER CODY,GENERAL GRIEVOUS,1
DARTH VADER,EMPEROR,9
DARTH VADER,MACE WINDU,1
MACE WINDU,PADME,2
ANAKIN,DARTH VADER,7
DARTH VADER,PADME,4
DARTH VADER,GENERAL GRIEVOUS,1
DARTH VADER,OBI-WAN,2
CLONE COMMANDER CODY,EMPEROR,1
CLONE COMMANDER GREE,EMPEROR,1
CHEWBACCA,YODA,3
CHEWBACCA,CLONE COMMANDER GREE,1
BAIL ORGANA,CAPTAIN ANTILLES,2
BAIL ORGANA,YODA,12
CAPTAIN TYPHO,R2-D2,1
CAPTAIN TYPHO,MACE WINDU,1
CAPTAIN TYPHO,OBI-WAN,2
DARTH VADER,NUTE GUNRAY,2
ANAKIN,NUTE GUNRAY,4
CAPTAIN TYPHO,EMPEROR,1
BAIL ORGANA,CAPTAIN TYPHO,1
JAR JAR,PADME,1
CAPTAIN TYPHO,JAR JAR,1
