source,target,value
PADME,R2-D2,17
JAR JAR,R2-D2,1
CAPTAIN TYPHO,R2-D2,3
JAR JAR,PADME,4
CAPTAIN TYPHO,PADME,6
CAPTAIN TYPHO,JAR JAR,4
EMPEROR,PADME,2
EMPEROR,JAR JAR,5
CAPTAIN TYPHO,EMPEROR,2
EMPEROR,SENATOR ASK AAK,2
EMPEROR,ORN FREE TAA,3
PADME,SENATOR ASK AAK,1
ORN FREE TAA,PADME,1
JAR JAR,SENATOR ASK AAK,2
JAR JAR,ORN FREE TAA,3
CAPTAIN TYPHO,SENATOR ASK AAK,1
CAPTAIN TYPHO,ORN FREE TAA,2
ORN FREE TAA,SENATOR ASK AAK,1
BAIL ORGANA,EMPEROR,3
EMPEROR,MACE WINDU,2
COUNT DOOKU,EMPEROR,4
EMPEROR,KI-ADI-MUNDI,2
EMPEROR,OBI-WAN,3
EMPEROR,YODA,2
BAIL ORGANA,MACE WINDU,2
BAIL ORGANA,COUNT DOOKU,2
BAIL ORGANA,KI-ADI-MUNDI,2
BAIL ORGANA,OBI-WAN,2
BAIL ORGANA,YODA,2
BAIL ORGANA,JAR JAR,3
BAIL ORGANA,CAPTAIN TYPHO,1
BAIL ORGANA,ORN FREE TAA,1
COUNT DOOKU,MACE WINDU,6
KI-ADI-MUNDI,MACE WINDU,4
MACE WINDU,OBI-WAN,11
MACE WINDU,YODA,10
JAR JAR,MACE WINDU,3
CAPTAIN TYPHO,MACE WINDU,1
MACE WINDU,ORN FREE TAA,1
COUNT DOOKU,KI-ADI-MUNDI,3
COUNT DOOKU,OBI-WAN,11
COUNT DOOKU,YODA,5
COUNT DOOKU,JAR JAR,2
CAPTAIN TYPHO,COUNT DOOKU,1
COUNT DOOKU,ORN FREE TAA,1
KI-ADI-MUNDI,OBI-WAN,4
KI-ADI-MUNDI,YODA,4
JAR JAR,KI-ADI-MUNDI,2
CAPTAIN TYPHO,KI-ADI-MUNDI,1
KI-ADI-MUNDI,ORN FREE TAA,1
OBI-WAN,YODA,11
JAR JAR,OBI-WAN,5
CAPTAIN TYPHO,OBI-WAN,5
OBI-WAN,ORN FREE TAA,1
JAR JAR,YODA,3
CAPTAIN TYPHO,YODA,1
ORN FREE TAA,YODA,1
ANAKIN,OBI-WAN,24
ANAKIN,JAR JAR,3
OBI-WAN,PADME,16
ANAKIN,PADME,43
ANAKIN,CAPTAIN TYPHO,4
OBI-WAN,R2-D2,6
ANAKIN,R2-D2,14
ANAKIN,EMPEROR,2
ANAKIN,YODA,5
ANAKIN,MACE WINDU,6
MACE WINDU,PADME,5
PADME,YODA,2
OBI-WAN,PK-4,1
COUNT DOOKU,NUTE GUNRAY,3
NUTE GUNRAY,SIO BIBBLE,1
ANAKIN,NUTE GUNRAY,3
NUTE GUNRAY,PADME,3
COUNT DOOKU,SIO BIBBLE,1
ANAKIN,COUNT DOOKU,11
COUNT DOOKU,PADME,10
ANAKIN,SIO BIBBLE,1
PADME,SIO BIBBLE,1
COUNT DOOKU,QUI-GON,1
OBI-WAN,QUI-GON,1
ANAKIN,RUWEE,3
ANAKIN,JOBAL,2
ANAKIN,SOLA,2
PADME,RUWEE,2
JOBAL,PADME,2
PADME,SOLA,2
JOBAL,RUWEE,1
RUWEE,SOLA,1
JOBAL,SOLA,2
OBI-WAN,TAUN WE,9
LAMA SU,OBI-WAN,7
LAMA SU,TAUN WE,5
JANGO FETT,OBI-WAN,13
JANGO FETT,LAMA SU,2
JANGO FETT,TAUN WE,5
COUNT DOOKU,LAMA SU,1
BOBA FETT,JANGO FETT,8
BOBA FETT,OBI-WAN,9
BOBA FETT,TAUN WE,2
ANAKIN,SHMI,3
ANAKIN,WATTO,1
ANAKIN,SNAP,1
PADME,SHMI,2
PADME,WATTO,1
PADME,SNAP,1
SHMI,WATTO,1
SHMI,SNAP,1
SNAP,WATTO,1
ANAKIN,C-3PO,7
C-3PO,PADME,9
BERU,C-3PO,3
C-3PO,SHMI,1
C-3PO,OWEN,3
C-3PO,CLIEGG,2
ANAKIN,BERU,3
BERU,PADME,4
BERU,SHMI,1
BERU,OWEN,4
BERU,CLIEGG,4
ANAKIN,OWEN,4
ANAKIN,CLIEGG,3
OWEN,PADME,5
CLIEGG,PADME,3
OWEN,SHMI,1
CLIEGG,SHMI,1
CLIEGG,OWEN,3
EMPEROR,JANGO FETT,2
BAIL ORGANA,JANGO FETT,1
BAIL ORGANA,SENATOR ASK AAK,1
JANGO FETT,MACE WINDU,3
MACE WINDU,SENATOR ASK AAK,1
COUNT DOOKU,JANGO FETT,4
COUNT DOOKU,SENATOR ASK AAK,1
JANGO FETT,KI-ADI-MUNDI,1
JANGO FETT,YODA,1
JANGO FETT,JAR JAR,1
JANGO FETT,SENATOR ASK AAK,1
KI-ADI-MUNDI,SENATOR ASK AAK,1
OBI-WAN,SENATOR ASK AAK,1
SENATOR ASK AAK,YODA,1
C-3PO,R2-D2,8
C-3PO,COUNT DOOKU,2
C-3PO,OBI-WAN,3
COUNT DOOKU,R2-D2,2
BERU,R2-D2,1
OWEN,R2-D2,1
CLIEGG,R2-D2,1
C-3PO,MACE WINDU,1
MACE WINDU,R2-D2,1
ANAKIN,JANGO FETT,4
JANGO FETT,PADME,4
NUTE GUNRAY,POGGLE,2
NUTE GUNRAY,SUN RIT,2
COUNT DOOKU,POGGLE,2
COUNT DOOKU,SUN RIT,2
ANAKIN,POGGLE,2
ANAKIN,SUN RIT,2
PADME,POGGLE,2
PADME,SUN RIT,2
POGGLE,SUN RIT,2
BOBA FETT,NUTE GUNRAY,1
JANGO FETT,NUTE GUNRAY,1
NUTE GUNRAY,OBI-WAN,1
BOBA FETT,COUNT DOOKU,3
ANAKIN,BOBA FETT,3
BOBA FETT,PADME,3
BOBA FETT,POGGLE,1
BOBA FETT,SUN RIT,1
JANGO FETT,POGGLE,1
JANGO FETT,SUN RIT,1
OBI-WAN,POGGLE,1
OBI-WAN,SUN RIT,1
BOBA FETT,MACE WINDU,2
KI-ADI-MUNDI,PLO KOON,2
BOBA FETT,KI-ADI-MUNDI,1
BOBA FETT,YODA,1
ANAKIN,KI-ADI-MUNDI,1
KI-ADI-MUNDI,PADME,1
MACE WINDU,PLO KOON,1
OBI-WAN,PLO KOON,1
PLO KOON,YODA,1
